id_transaccion,fecha_hora,dia_semana,hora_decimal,turno,cajero,mesero,mesa_canal,categoria_producto,producto,cantidad_items,monto_bruto,descuento_pct,monto_final,metodo_pago,tipo_transaccion,es_anomalia,tipo_anomalia,descripcion_anomalia,split_sugerido
TRX-000016,2026-05-17 10:12:00,6,10.2,desayuno,CAJ-002,MES-006,mesa_12,platos_fuertes,Churrasco ecuatoriano,2,18.8,0,18.8,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000017,2026-06-12 13:51:00,4,13.85,almuerzo,CAJ-003,MES-003,mesa_13,almuerzos,Almuerzo ejecutivo,3,12.1,10,10.89,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000018,2026-05-14 12:36:00,3,12.6,almuerzo,CAJ-001,MES-001,mesa_15,platos_fuertes,Churrasco ecuatoriano,1,8.92,0,8.92,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000019,2026-06-07 12:44:00,6,12.73,almuerzo,CAJ-001,MES-001,mesa_13,platos_fuertes,Parrillada personal,2,22.38,0,22.38,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000020,2026-06-10 17:54:00,2,17.9,cena,CAJ-004,MES-004,mesa_12,almuerzos,Menestra con carne,2,13.07,0,13.07,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000021,2026-05-16 09:26:00,5,9.43,desayuno,CAJ-003,MES-006,mesa_13,almuerzos,Menestra con carne,1,6.8,0,6.8,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000022,2026-05-15 13:14:00,4,13.23,almuerzo,CAJ-002,MES-005,mesa_03,almuerzos,Encebollado,1,4.69,50,2.35,efectivo,venta,1,descuento_fuera_politica,Descuento superior a la politica normal del restaurante.,validacion
TRX-000023,2026-06-14 15:03:00,6,15.05,almuerzo,CAJ-004,MES-002,mesa_01,combos,Combo para dos,1,13.78,0,13.78,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000024,2026-05-30 19:39:00,5,19.65,cena,CAJ-004,MES-003,mesa_03,almuerzos,Menestra con carne,3,20.54,0,20.54,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000025,2026-05-16 12:47:00,5,12.78,almuerzo,CAJ-004,MES-002,app_delivery,platos_fuertes,Camarones apanados,1,11.92,5,11.32,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000026,2026-05-10 13:37:00,6,13.62,almuerzo,CAJ-003,MES-006,mesa_06,almuerzos,Seco de pollo,1,127.63,5,121.25,tarjeta,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,validacion
TRX-000027,2026-06-10 21:20:00,2,21.33,cena,CAJ-003,MES-002,mesa_08,desayunos,Bolon mixto,2,7.35,0,7.35,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000028,2026-06-16 19:16:00,1,19.27,cena,CAJ-004,MES-002,mesa_04,desayunos,Tigrillo con cafe,3,13.21,0,13.21,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000029,2026-05-15 02:06:00,4,2.1,fuera_horario,CAJ-001,MES-005,mesa_07,combos,Combo para dos,2,25.69,0,25.69,tarjeta,venta,1,venta_fuera_horario,Transaccion registrada cuando el restaurante deberia estar cerrado.,prueba
TRX-000030,2026-05-24 13:43:00,6,13.72,almuerzo,CAJ-003,MES-006,mesa_04,almuerzos,Menestra con carne,2,12.85,0,12.85,tarjeta,devolucion,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000031,2026-06-20 17:56:00,5,17.93,cena,CAJ-001,MES-003,mesa_04,bebidas,Agua sin gas,1,0.99,0,0.99,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000032,2026-05-18 12:42:00,0,12.7,almuerzo,CAJ-002,MES-003,mesa_02,bebidas,Jugo natural,2,3.8,0,3.8,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000033,2026-06-10 21:10:00,2,21.17,cena,CAJ-003,MES-005,mesa_05,bebidas,Gaseosa personal,3,260.6,5,247.57,efectivo,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,prueba
TRX-000034,2026-06-29 08:29:00,0,8.48,desayuno,CAJ-001,MES-006,mesa_09,almuerzos,Seco de pollo,3,17.34,5,16.47,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000035,2026-05-02 20:24:00,5,20.4,cena,CAJ-002,MES-005,mesa_12,desayunos,Bolon mixto,1,3.76,15,3.2,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000036,2026-05-22 14:42:00,4,14.7,almuerzo,CAJ-004,MES-002,mesa_06,platos_fuertes,Parrillada personal,1,10.32,10,9.29,efectivo,anulacion,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000037,2026-05-26 08:47:00,1,8.78,desayuno,CAJ-002,MES-001,app_delivery,platos_fuertes,Camarones apanados,1,-12,0,-12,tarjeta,venta,1,monto_inconsistente,"Monto cero o negativo, inconsistente para una venta.",validacion
TRX-000038,2026-05-05 03:41:00,1,3.68,fuera_horario,CAJ-004,MES-006,mesa_09,platos_fuertes,Churrasco ecuatoriano,1,9.78,0,9.78,tarjeta,venta,1,venta_fuera_horario,Transaccion registrada cuando el restaurante deberia estar cerrado.,prueba
TRX-000039,2026-06-09 20:54:00,1,20.9,cena,CAJ-004,MES-003,mesa_10,almuerzos,Encebollado,2,10.07,10,9.06,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000040,2026-06-26 13:05:00,4,13.08,almuerzo,CAJ-002,MES-003,mesa_08,almuerzos,Almuerzo ejecutivo,1,4.32,10,3.89,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000041,2026-06-26 13:46:00,4,13.77,almuerzo,CAJ-004,MES-005,mesa_13,almuerzos,Seco de pollo,3,17.3,0,17.3,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000042,2026-05-22 13:04:00,4,13.07,almuerzo,CAJ-001,MES-005,mesa_04,desayunos,Humita con cafe,1,3.46,5,3.29,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000043,2026-05-23 12:16:00,5,12.27,almuerzo,CAJ-004,MES-004,mesa_06,almuerzos,Almuerzo ejecutivo,1,4.07,0,2.81,efectivo,devolucion,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000044,2026-05-30 21:34:00,5,21.57,cena,CAJ-003,MES-006,mesa_01,desayunos,Bolon mixto,5,16.83,0,16.83,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000045,2026-06-26 08:33:00,4,8.55,desayuno,CAJ-003,MES-002,mesa_01,almuerzos,Seco de pollo,3,16.12,15,13.7,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000046,2026-05-17 23:27:00,6,23.45,fuera_horario,CAJ-002,MES-003,mesa_07,almuerzos,Seco de pollo,2,11.08,0,11.08,efectivo,venta,1,venta_fuera_horario,Transaccion registrada cuando el restaurante deberia estar cerrado.,prueba
TRX-000047,2026-05-14 11:14:00,3,11.23,almuerzo,CAJ-004,MES-001,app_delivery,bebidas,Gaseosa personal,2,2.42,5,2.3,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000048,2026-06-28 08:18:00,6,8.3,desayuno,CAJ-001,MES-005,mesa_04,almuerzos,Encebollado,2,10.32,0,10.32,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000049,2026-06-16 11:53:00,1,11.88,almuerzo,CAJ-002,MES-006,mesa_12,bebidas,Gaseosa personal,3,3.66,0,3.66,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000050,2026-06-02 13:05:00,1,13.08,almuerzo,CAJ-003,MES-003,mesa_12,almuerzos,Almuerzo ejecutivo,2,-5,0,-5,efectivo,venta,1,monto_inconsistente,"Monto cero o negativo, inconsistente para una venta.",validacion
TRX-000051,2026-06-20 08:41:00,5,8.68,desayuno,CAJ-004,MES-003,mesa_12,bebidas,Jugo natural,2,3.75,5,3.56,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000052,2026-05-08 11:21:00,4,11.35,almuerzo,CAJ-001,MES-005,mesa_13,almuerzos,Seco de pollo,1,5.67,5,5.39,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000053,2026-06-22 13:17:00,0,13.28,almuerzo,CAJ-002,MES-006,mesa_02,almuerzos,Seco de pollo,6,36.87,0,1.94,efectivo,devolucion,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000054,2026-05-22 11:53:00,4,11.88,almuerzo,CAJ-002,MES-006,retiro_local,platos_fuertes,Camarones apanados,2,22.54,10,20.29,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000055,2026-05-07 11:29:00,3,11.48,almuerzo,CAJ-002,MES-005,mesa_13,combos,Combo para dos,2,25.97,0,25.97,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000056,2026-05-03 09:15:00,6,9.25,desayuno,CAJ-003,MES-001,domicilio,desayunos,Tigrillo con cafe,4,18.43,0,18.43,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000057,2026-05-23 10:24:00,5,10.4,desayuno,CAJ-003,MES-004,mesa_11,bebidas,Jugo natural,3,74.33,0,74.33,efectivo,anulacion,1,empleado_anulaciones_altas,Empleado asociado a anulaciones frecuentes o de monto alto.,prueba
TRX-000058,2026-05-24 23:21:00,6,23.35,fuera_horario,CAJ-004,MES-006,app_delivery,desayunos,Humita con cafe,1,3.52,0,3.52,transferencia,venta,1,venta_fuera_horario,Transaccion registrada cuando el restaurante deberia estar cerrado.,prueba
TRX-000059,2026-05-19 08:05:00,1,8.08,desayuno,CAJ-004,MES-005,mesa_06,almuerzos,Seco de pollo,4,21.43,50,10.71,tarjeta,venta,1,descuento_fuera_politica,Descuento superior a la politica normal del restaurante.,validacion
TRX-000060,2026-06-09 13:28:00,1,13.47,almuerzo,CAJ-001,MES-001,mesa_13,bebidas,Agua sin gas,4,4.15,0,4.15,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000061,2026-05-19 19:45:00,1,19.75,cena,CAJ-003,MES-002,mesa_11,almuerzos,Almuerzo ejecutivo,6,26.64,20,21.31,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000062,2026-06-29 13:52:00,0,13.87,almuerzo,CAJ-003,MES-005,domicilio,bebidas,Gaseosa personal,4,4.9,5,4.66,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000063,2026-05-09 11:10:00,5,11.17,almuerzo,CAJ-001,MES-003,mesa_14,almuerzos,Almuerzo ejecutivo,2,8.19,0,8.19,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000064,2026-05-01 20:32:00,4,20.53,cena,CAJ-003,MES-004,mesa_06,platos_fuertes,Churrasco ecuatoriano,2,277.25,0,277.25,transferencia,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,prueba
TRX-000065,2026-05-08 13:44:00,4,13.73,almuerzo,CAJ-004,MES-005,mesa_07,bebidas,Gaseosa personal,3,3.95,35,2.57,efectivo,venta,1,efectivo_descuento_alto,Venta en efectivo con descuento inusualmente alto.,validacion
TRX-000066,2026-06-20 19:33:00,5,19.55,cena,CAJ-003,MES-005,mesa_01,combos,Combo para dos,1,12.08,10,10.87,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000067,2026-05-09 15:52:00,5,15.87,almuerzo,CAJ-003,MES-003,retiro_local,almuerzos,Menestra con carne,1,6.84,0,6.84,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000068,2026-05-06 12:40:00,2,12.67,almuerzo,CAJ-004,MES-006,mesa_09,bebidas,Agua sin gas,1,0.97,10,0.87,tarjeta,devolucion,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000069,2026-06-26 21:12:00,4,21.2,cena,CAJ-004,MES-006,mesa_03,platos_fuertes,Camarones apanados,2,22.09,0,22.09,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000070,2026-06-01 20:19:00,0,20.32,cena,CAJ-003,MES-002,mesa_15,bebidas,Gaseosa personal,1,1.24,10,1.12,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000071,2026-06-26 21:22:00,4,21.37,cena,CAJ-003,MES-004,mesa_10,bebidas,Gaseosa personal,1,1.32,0,1.32,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000072,2026-06-26 13:15:00,4,13.25,almuerzo,CAJ-004,MES-005,mesa_10,almuerzos,Almuerzo ejecutivo,2,7.97,0,7.97,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000073,2026-05-29 08:09:00,4,8.15,desayuno,CAJ-002,MES-002,mesa_12,combos,Combo para dos,1,12.24,15,10.4,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000074,2026-05-30 17:43:00,5,17.72,cena,CAJ-002,MES-003,mesa_07,postres,Tres leches,2,-25,0,-25,tarjeta,devolucion,1,monto_inconsistente,"Monto cero o negativo, inconsistente para una venta.",prueba
TRX-000075,2026-05-23 12:14:00,5,12.23,almuerzo,CAJ-003,MES-006,mesa_03,postres,Tres leches,3,9.22,0,9.22,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000076,2026-05-30 18:25:00,5,18.42,cena,CAJ-001,MES-005,mesa_11,bebidas,Agua sin gas,3,3.31,0,3.31,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000077,2026-05-24 15:54:00,6,15.9,almuerzo,CAJ-001,MES-006,mesa_13,bebidas,Jugo natural,2,233.6,5,221.92,efectivo,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,prueba
TRX-000078,2026-06-02 19:44:00,1,19.73,cena,CAJ-003,MES-003,retiro_local,almuerzos,Almuerzo ejecutivo,2,7.66,0,7.66,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000079,2026-05-30 08:11:00,5,8.18,desayuno,CAJ-003,MES-004,mesa_11,almuerzos,Encebollado,1,5.21,0,5.21,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000080,2026-05-21 17:41:00,3,17.68,cena,CAJ-004,MES-002,mesa_10,almuerzos,Almuerzo ejecutivo,1,4.02,0,4.02,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000081,2026-06-26 13:27:00,4,13.45,almuerzo,CAJ-001,MES-004,app_delivery,combos,Combo para dos,4,452.14,5,429.53,transferencia,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,validacion
TRX-000082,2026-05-30 13:57:00,5,13.95,almuerzo,CAJ-004,MES-002,mesa_04,almuerzos,Seco de pollo,3,15.77,45,8.67,efectivo,venta,1,descuento_fuera_politica,Descuento superior a la politica normal del restaurante.,validacion
TRX-000083,2026-05-26 08:05:00,1,8.08,desayuno,CAJ-004,MES-005,mesa_10,desayunos,Humita con cafe,1,160.64,10,144.58,tarjeta,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,prueba
TRX-000084,2026-06-23 14:09:00,1,14.15,almuerzo,CAJ-001,MES-005,mesa_07,platos_fuertes,Churrasco ecuatoriano,3,28.76,0,28.76,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000085,2026-05-18 13:17:00,0,13.28,almuerzo,CAJ-003,MES-001,mesa_04,desayunos,Tigrillo con cafe,5,22.9,0,22.9,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000086,2026-05-19 18:12:00,1,18.2,cena,CAJ-001,MES-001,app_delivery,almuerzos,Seco de pollo,3,18.26,10,16.43,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000087,2026-05-08 13:46:00,4,13.77,almuerzo,CAJ-001,MES-003,mesa_07,bebidas,Gaseosa personal,1,1.27,0,1.27,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000088,2026-06-20 19:53:00,5,19.88,cena,CAJ-001,MES-001,domicilio,almuerzos,Seco de pollo,1,5.37,0,5.37,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000089,2026-05-22 12:58:00,4,12.97,almuerzo,CAJ-002,MES-001,retiro_local,platos_fuertes,Parrillada personal,1,-12,0,-12,efectivo,venta,1,monto_inconsistente,"Monto cero o negativo, inconsistente para una venta.",validacion
TRX-000090,2026-05-18 14:20:00,0,14.33,almuerzo,CAJ-001,MES-002,domicilio,platos_fuertes,Camarones apanados,4,44.29,0,44.29,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000091,2026-06-21 04:57:00,6,4.95,fuera_horario,CAJ-002,MES-003,mesa_10,almuerzos,Encebollado,2,10.28,0,10.28,transferencia,venta,1,venta_fuera_horario,Transaccion registrada cuando el restaurante deberia estar cerrado.,prueba
TRX-000092,2026-05-17 11:28:00,6,11.47,almuerzo,CAJ-004,MES-004,mesa_14,almuerzos,Encebollado,1,5.19,0,5.19,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000093,2026-06-11 10:59:00,3,10.98,desayuno,CAJ-002,MES-002,mesa_02,bebidas,Jugo natural,2,3.9,0,3.9,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000094,2026-06-11 12:29:00,3,12.48,almuerzo,CAJ-003,MES-002,retiro_local,desayunos,Humita con cafe,1,3.25,0,3.25,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000095,2026-05-25 10:44:00,0,10.73,desayuno,CAJ-001,MES-004,mesa_08,platos_fuertes,Parrillada personal,2,22.08,80,4.42,efectivo,venta,1,descuento_fuera_politica,Descuento superior a la politica normal del restaurante.,prueba
TRX-000096,2026-06-02 12:11:00,1,12.18,almuerzo,CAJ-004,MES-005,mesa_05,desayunos,Bolon mixto,2,7.37,10,6.63,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000097,2026-06-23 13:19:00,1,13.32,almuerzo,CAJ-002,MES-001,mesa_13,bebidas,Jugo natural,2,3.56,0,3.56,efectivo,devolucion,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000098,2026-06-10 12:56:00,2,12.93,almuerzo,CAJ-002,MES-005,mesa_14,combos,Combo para dos,2,25.56,0,25.56,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000099,2026-05-18 18:42:00,0,18.7,cena,CAJ-002,MES-006,mesa_06,desayunos,Bolon mixto,4,14.72,0,14.72,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000100,2026-05-08 13:47:00,4,13.78,almuerzo,CAJ-001,MES-006,mesa_06,bebidas,Jugo natural,3,156.74,0,156.74,tarjeta,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,prueba
TRX-000101,2026-05-07 08:42:00,3,8.7,desayuno,CAJ-001,MES-001,mesa_10,desayunos,Bolon mixto,2,7.39,0,7.39,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000102,2026-06-02 13:48:00,1,13.8,almuerzo,CAJ-004,MES-001,mesa_09,bebidas,Agua sin gas,2,2.04,10,1.84,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000103,2026-06-14 12:42:00,6,12.7,almuerzo,CAJ-003,MES-004,mesa_07,desayunos,Humita con cafe,1,3.34,0,3.34,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000104,2026-05-03 15:54:00,6,15.9,almuerzo,CAJ-004,MES-004,mesa_12,platos_fuertes,Camarones apanados,2,23.96,10,21.56,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000105,2026-06-07 12:22:00,6,12.37,almuerzo,CAJ-004,MES-004,retiro_local,combos,Combo para dos,4,558.61,5,530.68,tarjeta,venta,1,monto_extremo,Monto final extremadamente alto frente al ticket promedio.,prueba
TRX-000106,2026-05-08 11:43:00,4,11.72,almuerzo,CAJ-003,MES-002,mesa_05,almuerzos,Encebollado,2,213.64,0,213.64,tarjeta,devolucion,1,devolucion_monto_alto,Devolucion con monto muy superior al comportamiento normal.,validacion
TRX-000107,2026-06-05 12:13:00,4,12.22,almuerzo,CAJ-004,MES-003,mesa_08,almuerzos,Menestra con carne,1,6.67,0,6.67,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000108,2026-05-09 19:15:00,5,19.25,cena,CAJ-004,MES-001,mesa_01,almuerzos,Menestra con carne,2,13.7,0,13.7,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000109,2026-06-15 20:19:00,0,20.32,cena,CAJ-002,MES-001,mesa_10,platos_fuertes,Churrasco ecuatoriano,3,26.0,50,13.0,tarjeta,venta,1,descuento_fuera_politica,Descuento superior a la politica normal del restaurante.,prueba
TRX-000110,2026-06-21 14:51:00,6,14.85,almuerzo,CAJ-003,MES-001,mesa_15,almuerzos,Menestra con carne,2,12.16,0,12.16,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000111,2026-06-03 08:11:00,2,8.18,desayuno,CAJ-002,MES-002,mesa_07,postres,Flan de la casa,2,4.95,0,4.95,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000112,2026-06-20 20:38:00,5,20.63,cena,CAJ-001,MES-005,mesa_08,almuerzos,Encebollado,5,24.68,60,9.87,tarjeta,venta,1,descuento_fuera_politica,Descuento superior a la politica normal del restaurante.,validacion
TRX-000113,2026-05-19 15:18:00,1,15.3,almuerzo,CAJ-001,MES-005,mesa_07,desayunos,Tigrillo con cafe,2,9.36,0,9.36,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000114,2026-05-18 10:16:00,0,10.27,desayuno,CAJ-004,MES-002,mesa_01,desayunos,Bolon mixto,1,3.58,15,3.04,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000115,2026-05-26 19:17:00,1,19.28,cena,CAJ-001,MES-003,mesa_06,combos,Combo para dos,1,13.64,0,13.64,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000116,2026-06-01 10:52:00,0,10.87,desayuno,CAJ-001,MES-005,mesa_01,desayunos,Bolon mixto,1,3.85,0,3.85,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000117,2026-05-12 13:25:00,1,13.42,almuerzo,CAJ-004,MES-002,mesa_08,almuerzos,Seco de pollo,4,23.88,0,23.88,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000118,2026-06-19 13:46:00,4,13.77,almuerzo,CAJ-004,MES-001,mesa_04,desayunos,Tigrillo con cafe,2,8.19,0,8.19,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000119,2026-05-06 13:39:00,2,13.65,almuerzo,CAJ-004,MES-001,mesa_10,bebidas,Jugo natural,2,-25,0,-25,efectivo,venta,1,monto_inconsistente,"Monto cero o negativo, inconsistente para una venta.",prueba
TRX-000120,2026-05-20 18:48:00,2,18.8,cena,CAJ-004,MES-002,app_delivery,desayunos,Tigrillo con cafe,2,8.82,0,8.82,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000121,2026-06-21 09:55:00,6,9.92,desayuno,CAJ-001,MES-005,mesa_02,almuerzos,Encebollado,1,4.71,15,4.0,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000122,2026-05-11 12:29:00,0,12.48,almuerzo,CAJ-004,MES-003,mesa_10,bebidas,Jugo natural,3,5.58,0,5.58,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
